domicilio_barrio,cantidad_denuncias_app,superficie_km_cuadrado,habitantes,densidad_habitantes,cantidad_denuncias,ratio, denuncias_app
PALERMO,924,15.9,252312,14501,1262,0.0870284807944279,73.21
VILLA URQUIZA,620,5.4,89360,15957,762,0.0477533370934386,81.36
VILLA SOLDATI,495,8.6,41228,4739,516,0.1088837307448828,95.93
BELGRANO,450,6.8,138942,20433,564,0.0276024078696226,79.78
CABALLITO,449,6.8,183396,25830,629,0.024351529229578,71.38
ALMAGRO,305,4.1,139262,33960,398,0.0117196702002355,
BALVANERA,281,4.4,152198,34950,346,0.0098998569384835,
FLORES,267,7.8,150484,18578,411,0.0221229411131445,
VILLA DEVOTO,237,6.4,71013,10760,352,0.0327137546468401,
NUEVA POMPEYA,223,6.2,63276,10373,251,0.0241974356502458,
VILLA CRESPO,185,3.6,89859,23647,313,0.0132363513342073,
VILLA PUEYRREDON,185,3.3,40235,10874,246,0.0226227699098767,
NUÃ‘EZ,178,4.5,53005,13591,246,0.0181002133764991,
COLEGIALES,153,2.3,56998,21922,230,0.0104917434540644,
RECOLETA,150,5.9,188780,34959,228,0.0065219256843731,
VILLA ORTUZAR,137,1.8,22591,18826,179,0.0095081270583235,
VILLA DEL PARQUE,137,3.4,58573,16270,202,0.0124154886293792,
FLORESTA,134,2.3,39473,16447,183,0.0111266492369429,
MATADEROS,133,7.3,64932,8544,250,0.0292602996254681,
MONTE CASTRO,121,2.6,34584,11926,184,0.0154284755995304,
SAAVEDRA,121,5.6,51723,8767,193,0.0220143720771073,
LINIERS,118,4.3,44234,8191,191,0.0233182761567574,
PARQUE CHAS,112,1.4,39473,28195,134,0.0047526157120056,
VILLA LURO,90,2.6,33058,12715,143,0.0112465591820684,
VILLA SANTA RITA,87,2.2,33850,14717,138,0.0093769110552422,
AGRONOMIA,83,2.1,34580,8645,112,0.0129554655870445,
BOEDO,79,2.6,48520,18662,143,0.0076626299432,
PARQUE CHACABUCO,73,3.8,39473,16447,116,0.0070529579862588,
PARQUE AVELLANEDA,70,5.1,54191,10421,120,0.0115152096727761,
SAN NICOLAS,67,2.3,33305,13877,78,0.0056208114145708,
VELEZ SARSFIELD,65,2.4,35963,14985,99,0.0066066066066066,
BARRACAS,61,7.6,77474,10194,115,0.0112811457720227,
CHACARITA,60,3.1,27440,9800,101,0.0103061224489795,
MONSERRAT,53,2.2,43560,19800,71,0.0035858585858585,
VILLA LUGANO,48,9.0,114253,12419,109,0.008776874144456,
RETIRO,46,2.8,45002,15518,58,0.0037375950509086,
SAN CRISTOBAL,44,2.1,49986,23803,86,0.0036129899592488,
COGHLAN,42,1.3,19177,14752,64,0.0043383947939262,
PATERNAL,40,2.2,20053,8355,53,0.0063435068821065,
VILLA REAL,38,1.3,14278,9519,55,0.0057779178485134,
VILLA GRAL. MITRE,36,2.2,36090,16405,96,0.0058518744285278,
PARQUE PATRICIOS,28,3.7,40885,10759,57,0.0052978901384887,
CONSTITUCION,21,2.1,45860,21838,42,0.0019232530451506,
SAN TELMO,20,1.2,25969,19976,33,0.0016519823788546,
VERSALLES,16,1.5,14178,9452,34,0.0035971223021582,
VILLA RIACHUELO,14,4.1,14960,3400,35,0.0102941176470588,
PUERTO MADERO,10,2.1,7000,3333,20,0.006000600060006,
BOCA,8,3.1,46494,14089,27,0.0019163886720136,
